ID,NAME,ALIAS,COVER,CATEGORIES,PUBLISHED_AT,MINUTE,SCORE,REGIONS
1,霸王别姬,Farewell My Concubine,https://p0.meituan.net/movie/ce4da3e03e655b5b88ed31b5cd7896cf62472.jpg@464w_644h_1e_1c,"['剧情', '爱情']",1993-07-26,171,9.5,"['中国内地', '中国香港']"
2,这个杀手不太冷,Léon,https://p1.meituan.net/movie/6bea9af4524dfbd0b668eaa7e187c3df767253.jpg@464w_644h_1e_1c,"['剧情', '动作', '犯罪']",1994-09-14,110,9.5,['法国']
3,肖申克的救赎,The Shawshank Redemption,https://p0.meituan.net/movie/283292171619cdfd5b240c8fd093f1eb255670.jpg@464w_644h_1e_1c,"['剧情', '犯罪']",1994-09-10,142,9.5,['美国']
4,泰坦尼克号,Titanic,https://p1.meituan.net/movie/b607fba7513e7f15eab170aac1e1400d878112.jpg@464w_644h_1e_1c,"['剧情', '爱情', '灾难']",1998-04-03,194,9.5,['美国']
5,罗马假日,Roman Holiday,https://p0.meituan.net/movie/289f98ceaa8a0ae737d3dc01cd05ab052213631.jpg@464w_644h_1e_1c,"['剧情', '喜剧', '爱情']",1953-08-20,118,9.5,['美国']
6,唐伯虎点秋香,Flirting Scholar,https://p0.meituan.net/movie/da64660f82b98cdc1b8a3804e69609e041108.jpg@464w_644h_1e_1c,"['喜剧', '爱情', '古装']",1993-07-01,102,9.5,['中国香港']
7,乱世佳人,Gone with the Wind,https://p0.meituan.net/movie/223c3e186db3ab4ea3bb14508c709400427933.jpg@464w_644h_1e_1c,"['剧情', '爱情', '历史', '战争']",1939-12-15,238,9.5,['美国']
8,喜剧之王,The King of Comedy,https://p0.meituan.net/movie/1f0d671f6a37f9d7b015e4682b8b113e174332.jpg@464w_644h_1e_1c,"['剧情', '喜剧', '爱情']",1999-02-13,85,9.5,['中国香港']
9,楚门的世界,The Truman Show,https://p0.meituan.net/movie/8959888ee0c399b0fe53a714bc8a5a17460048.jpg@464w_644h_1e_1c,"['剧情', '科幻']",,103,9.0,['美国']
10,狮子王,The Lion King,https://p0.meituan.net/movie/27b76fe6cf3903f3d74963f70786001e1438406.jpg@464w_644h_1e_1c,"['动画', '歌舞', '冒险']",1995-07-15,89,9.0,['美国']
2,这个杀手不太冷,Léon,https://p1.meituan.net/movie/6bea9af4524dfbd0b668eaa7e187c3df767253.jpg@464w_644h_1e_1c,"['剧情', '动作', '犯罪']",1994-09-14,110,9.5,['法国']
3,肖申克的救赎,The Shawshank Redemption,https://p0.meituan.net/movie/283292171619cdfd5b240c8fd093f1eb255670.jpg@464w_644h_1e_1c,"['剧情', '犯罪']",1994-09-10,142,9.5,['美国']
4,泰坦尼克号,Titanic,https://p1.meituan.net/movie/b607fba7513e7f15eab170aac1e1400d878112.jpg@464w_644h_1e_1c,"['剧情', '爱情', '灾难']",1998-04-03,194,9.5,['美国']
5,罗马假日,Roman Holiday,https://p0.meituan.net/movie/289f98ceaa8a0ae737d3dc01cd05ab052213631.jpg@464w_644h_1e_1c,"['剧情', '喜剧', '爱情']",1953-08-20,118,9.5,['美国']
6,唐伯虎点秋香,Flirting Scholar,https://p0.meituan.net/movie/da64660f82b98cdc1b8a3804e69609e041108.jpg@464w_644h_1e_1c,"['喜剧', '爱情', '古装']",1993-07-01,102,9.5,['中国香港']
7,乱世佳人,Gone with the Wind,https://p0.meituan.net/movie/223c3e186db3ab4ea3bb14508c709400427933.jpg@464w_644h_1e_1c,"['剧情', '爱情', '历史', '战争']",1939-12-15,238,9.5,['美国']
8,喜剧之王,The King of Comedy,https://p0.meituan.net/movie/1f0d671f6a37f9d7b015e4682b8b113e174332.jpg@464w_644h_1e_1c,"['剧情', '喜剧', '爱情']",1999-02-13,85,9.5,['中国香港']
9,楚门的世界,The Truman Show,https://p0.meituan.net/movie/8959888ee0c399b0fe53a714bc8a5a17460048.jpg@464w_644h_1e_1c,"['剧情', '科幻']",,103,9.0,['美国']
